timestamp,open,high,low,close,volume
23-12-2011,40.5,40.5,37,38.25,33765
30-12-2011,39,41.5,38.05,40.3,18917
06-01-2012,40.3,45.7,40,45.05,50142
13-01-2012,45.9,48,45,45.5,40368
20-01-2012,45.95,47.85,45,45.55,38092
27-01-2012,46,51.95,45.05,49.2,43667
03-02-2012,46.05,48.95,44.05,46.65,21779
10-02-2012,47.65,48.5,44.15,45.35,77094
17-02-2012,44.5,58.85,43.75,50.25,390790
24-02-2012,51.9,53.5,48,48.85,118465
02-03-2012,48.25,52.85,47.4,52.05,258485
09-03-2012,53.6,56.55,50.8,55.05,77788
16-03-2012,56,57.3,53.05,53.5,102387
23-03-2012,52,55.75,52,53.25,42862
30-03-2012,54.4,55.9,52,55.1,39059
04-04-2012,55.85,57.85,53.25,55.55,6311
13-04-2012,54.2,60.4,54.2,60,58185
20-04-2012,59.9,60.25,47.05,58.6,23696
27-04-2012,57.5,62.5,57.05,60.85,48169
04-05-2012,59,69.5,59,67.8,111555
11-05-2012,66,67,55.7,56.7,18770
18-05-2012,55.9,59.5,55.55,56.25,17194
25-05-2012,57,60,55.5,59.9,59951
01-06-2012,60,61.95,55.6,56.5,5989
08-06-2012,54.1,59.3,50.4,58.55,132555
15-06-2012,58.95,58.95,53.65,54.2,6512
22-06-2012,58.85,58.85,52.4,55.45,3638
29-06-2012,55.9,56,52,53.45,8086
06-07-2012,53.85,58.1,53.3,54.7,24091
13-07-2012,56.8,57.65,55,55.8,7256
20-07-2012,56.95,62.25,54.55,61.2,34590
27-07-2012,61.9,69.8,55.15,57.6,42093
03-08-2012,58.5,61.8,54.5,56.4,7008
10-08-2012,60.7,60.7,55.65,57.5,8695
17-08-2012,57.5,58.95,55.55,56.25,4298
24-08-2012,55.8,59.1,55.4,58.85,9816
31-08-2012,59,59,50.4,56.1,10625
07-09-2012,53.55,57.8,53.5,55.7,14759
14-09-2012,58.95,58.95,55.15,57.4,27131
21-09-2012,57.25,59.8,55.1,56.45,29629
28-09-2012,59.95,59.95,55.7,59,10117
05-10-2012,59.5,68,59.5,64.65,41823
12-10-2012,65.2,70.2,57.5,63,49410
19-10-2012,64.35,66.95,61.6,64.45,19731
26-10-2012,66,66,62,62.5,6500
02-11-2012,64.4,65.75,62,63.05,11872
09-11-2012,63.55,69.8,62.7,68.35,29244
12-11-2012,68.55,73.75,68.5,72.35,9192
16-11-2012,73,74.5,71.55,73.25,11581
23-11-2012,73,83,73,80.15,34296
30-11-2012,80,81.3,77,80.5,22547
07-12-2012,82.95,88.85,81,82.6,135596
14-12-2012,82,82,76.75,78,12872
21-12-2012,80,82.4,78.5,80.15,12141
28-12-2012,78.35,82.7,78.1,81,7382
04-01-2013,82,88,82,84,32958
11-01-2013,86.2,86.95,81.5,82,45280
18-01-2013,84,84,80,80.3,10892
25-01-2013,81,90.8,81,85,75260
01-02-2013,82.3,87.6,75,85.7,59701
08-02-2013,83.6,88.6,80,82,43805
15-02-2013,81.5,85.85,72.2,74.6,18674
22-02-2013,73.25,74.5,66.5,66.8,12979
01-03-2013,68.8,69,61.6,66,17744
08-03-2013,64,71,64,69,21744
15-03-2013,69.1,72.55,64.6,66.55,10202
22-03-2013,66,67.4,58.05,59.95,11691
28-03-2013,58.05,67.95,56,56.6,1902
05-04-2013,63.75,63.75,54,60.25,3042
12-04-2013,56.95,60.45,56.1,59,483
18-04-2013,60.5,60.5,58.25,59,2996
26-04-2013,61,61,58.5,59.45,2224
03-05-2013,60.85,62.45,59.5,61.5,3819
10-05-2013,61,61.95,59.1,60.3,2768
17-05-2013,64.8,64.8,60.4,60.4,6041
24-05-2013,63.95,68,58.05,59.35,6820
31-05-2013,63.4,63.4,57.5,63.25,3609
07-06-2013,60.85,60.85,56.1,57.25,1734
14-06-2013,64,64,55.2,56.2,5503
21-06-2013,61.85,62.75,55.7,58.15,341
28-06-2013,58.15,58.2,50.65,51.5,3268
05-07-2013,51.55,54.95,51.55,54.25,1010
12-07-2013,52,52,47.55,52,1093
19-07-2013,52,56,50.8,56,7583
26-07-2013,56,56,48.25,48.25,3985
02-08-2013,51,57,46,48.6,471
08-08-2013,43.75,51,43.6,47,977
16-08-2013,54.95,54.95,43.6,50.05,206
22-08-2013,45,53,45,48,1148
30-08-2013,51,51,48,49.4,1125
06-09-2013,44.8,52,42.65,50.5,2357
13-09-2013,50.5,50.5,47.5,48.1,1306
16-09-2013,48.1,48.1,48.05,48.1,190
19-09-2013,49.15,49.15,48,48,551
27-09-2013,48.1,52.45,48.1,51,1790
30-09-2013,48.8,48.8,48.55,48.55,520
04-10-2013,48.2,48.2,46.55,46.55,1100
10-10-2013,48,48,44.5,44.5,825
18-10-2013,46.45,49.05,44.55,49.05,2695
24-10-2013,48,53.55,48,53.55,4012
28-10-2013,51.55,51.55,50.9,50.9,625
01-11-2013,48.55,53.6,48.55,53.6,1021
08-11-2013,51.1,53.65,51,51,1503
12-11-2013,51,51.5,48.6,51.5,1010
22-11-2013,49.1,49.1,44.4,44.4,3178
29-11-2013,43,46.75,41.1,46.75,1250
05-12-2013,45,46.5,42.65,44,2669
12-12-2013,43.1,43.1,41.1,42,593
20-12-2013,42.8,42.8,38,38,5017
26-12-2013,39,39.9,37.2,39,3316
03-01-2014,38,44.5,38,44.5,3295
10-01-2014,44.8,45.95,40.55,42.85,14946
17-01-2014,41.2,44.8,40.5,42.1,8107
24-01-2014,41.3,45,41.3,42.2,2752
31-01-2014,42.5,43.3,40.6,41.05,1523
06-02-2014,40,43,39.5,41.1,1230
14-02-2014,40,41.5,37.75,38,7300
21-02-2014,37.5,37.9,34.2,35.6,7196
28-02-2014,35.6,37,34.75,35.8,4854
07-03-2014,36.9,37.9,34.75,35.5,5168
14-03-2014,35.45,37.75,34.15,36.05,4700
21-03-2014,35.4,38.75,35.4,37.2,3881
28-03-2014,39.75,43.7,37.2,39,16248
04-04-2014,39,40.45,38.5,40,6139
11-04-2014,42,42,39.5,40.25,2322
17-04-2014,41.2,41.65,40,41.55,3145
23-04-2014,42,42.45,41,41.05,1275
02-05-2014,40.85,43.8,40.75,42,1015
09-05-2014,39.65,44.95,36.7,39.5,15581
16-05-2014,39,46.85,38.1,41.45,10703
23-05-2014,40.3,53.9,40.3,48.55,14329
30-05-2014,50.95,53,43.2,43.7,10836
06-06-2014,45.95,57.4,42.15,55.45,22034
13-06-2014,56.75,56.85,48,49.4,8487
20-06-2014,49,50.5,47.05,47.4,3478
27-06-2014,48.45,48.45,46.1,46.1,10228
04-07-2014,46.1,48.2,45.2,46,22732
11-07-2014,46.8,46.95,42,43.2,4720
18-07-2014,45.9,45.9,42.05,44.75,1379
25-07-2014,46.15,46.15,41.5,41.8,7174
01-08-2014,40.75,42.4,38.65,41.5,3580
08-08-2014,42.3,45.9,41,43.65,23038
14-08-2014,43.9,44.95,37.5,39.75,13374
22-08-2014,38.65,41.7,38.65,40,3354
28-08-2014,39.3,40,38.05,38.7,4996
05-09-2014,37.95,41.5,37.95,40.3,7860
12-09-2014,40,42.85,37.2,42.35,12379
19-09-2014,42.45,45.25,41.15,43.25,23406
26-09-2014,43,46.2,39,40.3,8130
01-10-2014,40.05,43.5,39,40.8,3747
10-10-2014,41.95,63.3,41.95,60.35,232957
17-10-2014,61.7,68.4,52.55,53.5,144358
22-10-2014,52.8,56,52.3,53.35,20291
31-10-2014,52,62.7,49.2,58.05,60247
07-11-2014,56.9,57,52.75,54,13800
14-11-2014,54,70.65,54,67.45,281061
21-11-2014,67.95,83.5,67.9,72.8,409015
28-11-2014,74,80.7,65.8,74,234890
05-12-2014,73.95,78.7,66.7,67.3,111990
12-12-2014,67.3,68.5,61.5,62.85,51284
19-12-2014,61.05,63.25,54.05,60,35595
26-12-2014,59,61.3,51.25,52,32135
02-01-2015,54.7,64.9,52,60.35,148096
09-01-2015,59.05,61.4,53.25,56.15,36816
16-01-2015,56.1,59,55,56.75,16001
23-01-2015,56.2,69.25,55.7,61.85,159786
30-01-2015,62.05,63,56,58,85131
06-02-2015,58,62.3,46.5,47.75,146962
13-02-2015,46.9,50.9,45,46.4,37210
20-02-2015,45.9,53.95,43.6,50.05,31658
27-02-2015,49,49.35,46,47,20143
05-03-2015,47,48.5,46.05,47.3,10485
13-03-2015,46.3,51.5,43,43.85,19072
20-03-2015,43.7,45.2,40.5,40.65,10862
27-03-2015,40,41.4,34.5,38.7,109373
01-04-2015,42.5,45,38.9,44.5,8268
10-04-2015,44.5,46.6,43.6,45.9,8666
17-04-2015,47.2,51.4,45,46.1,25167
24-04-2015,45.5,46,42.65,42.65,4562
30-04-2015,41.5,42.6,38,40.7,5971
